duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,episodes
56.26,2025-05-14 15:43:48,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:43:48,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.54,0.0,0.63,0.0,0.09,MILO,0,500
52.8,2025-05-14 15:44:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.98,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:44:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.63,0.0,0.64,0.0,0.01,MILO,1,500
51.77,2025-05-14 15:45:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.92,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:45:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.65,0.0,0.01,MILO,2,500
57.04,2025-05-14 15:46:30,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.1,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:46:30,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.65,0.0,0.66,0.0,0.01,MILO,3,500
52.94,2025-05-14 15:47:28,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:47:28,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.66,0.0,0.67,0.0,0.01,MILO,4,500
58.75,2025-05-14 15:48:21,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.12,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:48:21,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.67,0.0,0.68,0.0,0.01,MILO_LW,0,500
53.76,2025-05-14 15:49:21,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.14,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:49:21,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.69,0.0,0.01,MILO_LW,1,500
57.51,2025-05-14 15:50:15,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.12,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:50:15,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.69,0.0,0.7,0.0,0.01,MILO_LW,2,500
56.62,2025-05-14 15:51:13,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.17,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:51:13,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.7,0.0,0.71,0.0,0.01,MILO_LW,3,500
56.61,2025-05-14 15:52:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.15,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 15:52:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.71,0.0,0.72,0.0,0.01,MILO_LW,4,500
