duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,episodes
36.07,2025-09-21 12:29:33,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,32.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:29:33,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.61,0.0,0.64,0.0,0.03,MILO,0,500
9.22,2025-09-21 12:30:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.44,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:30:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.64,0.0,0.0,MILO,1,500
12.28,2025-09-21 12:30:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.41,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:30:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.64,0.0,0.0,MILO,2,500
13.98,2025-09-21 12:30:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.43,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:30:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.65,0.0,0.01,MILO,3,500
7.53,2025-09-21 12:30:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.4,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:30:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.65,0.0,0.65,0.0,0.0,MILO,4,500
68.47,2025-09-21 12:30:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.35,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:30:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.65,0.0,0.67,0.0,0.02,MILO_LW,0,500
66.53,2025-09-21 12:32:01,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,32.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:32:01,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.65,0.0,0.68,0.0,0.03,MILO_LW,1,500
10.43,2025-09-21 12:33:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.34,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:33:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.68,0.0,0.0,MILO_LW,2,500
17.21,2025-09-21 12:33:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.33,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:33:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.68,0.0,0.0,MILO_LW,3,500
7.34,2025-09-21 12:33:36,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,33.25,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-21 12:33:36,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.68,0.0,0.0,MILO_LW,4,500
