duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,episodes
8.72,2025-05-14 16:21:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.92,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.54,0.0,0.61,0.0,0.07,MILO,0,500
6.85,2025-05-14 16:21:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.61,0.0,0.62,0.0,0.01,MILO,1,500
8.27,2025-05-14 16:21:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO,2,500
7.49,2025-05-14 16:21:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.8,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO,3,500
7.87,2025-05-14 16:21:39,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.79,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:39,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO,4,500
6.45,2025-05-14 16:21:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.81,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO_LW,0,500
7.42,2025-05-14 16:21:53,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:21:53,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO_LW,1,500
6.52,2025-05-14 16:22:01,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:22:01,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO_LW,2,500
6.49,2025-05-14 16:22:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:22:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO_LW,3,500
6.63,2025-05-14 16:22:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.87,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:22:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.62,0.0,0.0,MILO_LW,4,500
63.15,2025-05-14 16:22:20,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.92,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:22:20,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.62,0.0,0.65,0.0,0.03,SGD,0,500
24.17,2025-05-14 16:23:24,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.14,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:23:24,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.65,0.0,0.64,0.0,-0.01,SGD,1,500
18.57,2025-05-14 16:23:48,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:23:48,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.64,0.0,0.0,SGD,2,500
61.36,2025-05-14 16:24:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.04,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:24:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.64,0.0,0.67,0.0,0.03,SGD,3,500
60.33,2025-05-14 16:25:08,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:25:08,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.67,0.0,0.68,0.0,0.01,SGD,4,500
5.01,2025-05-14 16:26:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.71,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:26:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.68,0.0,0.0,ADAMW,0,500
4.47,2025-05-14 16:26:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.75,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:26:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.68,0.0,0.0,ADAMW,1,500
5.13,2025-05-14 16:26:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:26:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.68,0.0,0.67,0.0,-0.01,ADAMW,2,500
4.68,2025-05-14 16:26:24,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.78,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 16:26:24,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.67,0.0,0.67,0.0,0.0,ADAMW,3,500
