optimizer,epoch,loss,accuracy,f1_score,loss_std_err,accuracy_std_err,f1_score_std_err
milo_LW_eps_1e-05,1,0.04764369867477731,99.38,0.9937441395238696,0.008345859134648775,0.03521100417219862,0.0003547533932818737
milo_LW_eps_1e-05,2,0.0024457275206558105,99.94277777777778,0.9994209068179147,0.0006049807542848838,0.005879447357919547,6.094277833518077e-05
milo_LW_eps_1e-05,3,0.00041768774778305995,99.98944444444443,0.9998927144453678,6.71923097679156e-05,0.0014698618394789914,1.389323942984905e-05
milo_LW_eps_1e-05,4,1.7167552749651965e-05,99.99944444444445,0.9999941093153198,1.2184815063830377e-05,0.0005555555555550503,5.890684680117294e-06
milo_LW_eps_1e-05,5,1.1036613021446268e-06,100.0,1.0,4.749637352653694e-08,0.0,0.0
milo_LW_eps_1e-05,6,3.419568392627544e-07,100.0,1.0,1.7361494142999352e-08,0.0,0.0
milo_LW_eps_1e-05,7,2.7753633997602065e-07,100.0,1.0,1.4979385107502584e-08,0.0,0.0
milo_LW_eps_1e-05,8,2.4671625127826105e-07,100.0,1.0,1.4208517551669208e-08,0.0,0.0
milo_LW_eps_1e-05,9,2.258009772504405e-07,100.0,1.0,1.3414500450740863e-08,0.0,0.0
milo_LW_eps_1e-05,10,2.094881569339593e-07,100.0,1.0,1.2633547825524268e-08,0.0,0.0
milo_LW_eps_1e-05,11,1.9671947765114653e-07,100.0,1.0,1.2273577125912151e-08,0.0,0.0
milo_LW_eps_1e-05,12,1.8607921838768643e-07,100.0,1.0,1.1697295866957723e-08,0.0,0.0
milo_LW_eps_1e-05,13,1.7717067368560416e-07,100.0,1.0,1.1369944262289184e-08,0.0,0.0
milo_LW_eps_1e-05,14,1.6926871666771918e-07,100.0,1.0,1.0984570835195378e-08,0.0,0.0
milo_LW_eps_1e-05,15,1.6252304367563557e-07,100.0,1.0,1.0654593689465343e-08,0.0,0.0
milo_LW_eps_0.005,1,0.07383257970494228,99.15000000000002,0.9914212729371253,0.009481974661105376,0.0577590781705457,0.0005790203241930363
milo_LW_eps_0.005,2,0.008616691201126028,99.83999999999999,0.998382451454099,0.0009466737397482606,0.0241714554642318,0.00024131994341675095
milo_LW_eps_0.005,3,0.0022750614395040513,99.95055555555557,0.9995020843414482,0.0002559549978890324,0.008407081083567868,8.533076870185432e-05
milo_LW_eps_0.005,4,0.0007258604896514662,99.98222222222222,0.9998199589985388,0.0002812771002005733,0.00801233616769835,8.212105736341912e-05
milo_LW_eps_0.005,5,0.00011186377382320909,99.99833333333333,0.9999825872371823,1.2641667955010213e-05,0.0009622504486485012,9.995219548329366e-06
milo_LW_eps_0.005,6,5.847262761973404e-05,100.0,1.0,1.808166007227927e-05,0.0,0.0
milo_LW_eps_0.005,7,4.068468613916012e-05,100.0,1.0,1.0493908591713439e-05,0.0,0.0
milo_LW_eps_0.005,8,3.582217892718233e-05,100.0,1.0,9.171144297314534e-06,0.0,0.0
milo_LW_eps_0.005,9,3.265484131539137e-05,100.0,1.0,8.307563533173534e-06,0.0,0.0
milo_LW_eps_0.005,10,3.0372719905788712e-05,100.0,1.0,7.689872970525613e-06,0.0,0.0
milo_LW_eps_0.005,11,2.8490953041680692e-05,100.0,1.0,7.1483767322216845e-06,0.0,0.0
milo_LW_eps_0.005,12,2.6949767249676524e-05,100.0,1.0,6.714227947480737e-06,0.0,0.0
milo_LW_eps_0.005,13,2.5613782483675687e-05,100.0,1.0,6.349498225941904e-06,0.0,0.0
milo_LW_eps_0.005,14,2.4477617380887766e-05,100.0,1.0,6.027319037695436e-06,0.0,0.0
milo_LW_eps_0.005,15,2.3468486227686274e-05,100.0,1.0,5.748685428105821e-06,0.0,0.0
milo_LW_eps_0.05,1,0.06407787596076474,99.04666666666667,0.9903773335862969,0.009012492748412773,0.05276608057511009,0.0005345355997133756
milo_LW_eps_0.05,2,0.005885352312955547,99.83444444444444,0.998333000365253,0.00011667639181489716,0.007777777777775442,7.851684218041536e-05
milo_LW_eps_0.05,3,0.001644653767137182,99.95444444444445,0.9995406757987068,0.00016438199816216882,0.008296213623927254,8.233650754149018e-05
milo_LW_eps_0.05,4,0.0005106168834486804,99.99333333333334,0.9999316066969998,0.00013961915295773473,0.005091750772173177,5.1641984877665203e-05
milo_LW_eps_0.05,5,0.00021856140717205915,100.0,1.0,4.454186690386726e-05,0.0,0.0
milo_LW_eps_0.05,6,0.00016557430195039666,100.0,1.0,1.831461675300762e-05,0.0,0.0
milo_LW_eps_0.05,7,0.00014706279903322058,100.0,1.0,1.4818708031793598e-05,0.0,0.0
milo_LW_eps_0.05,8,0.00013520375564629732,100.0,1.0,1.2755117112951683e-05,0.0,0.0
milo_LW_eps_0.05,9,0.0001273514065113179,100.0,1.0,1.200970786887114e-05,0.0,0.0
milo_LW_eps_0.05,10,0.00012103093270445445,100.0,1.0,1.1238833118627769e-05,0.0,0.0
milo_LW_eps_0.05,11,0.00011560104232783286,100.0,1.0,1.0674455188797797e-05,0.0,0.0
milo_LW_eps_0.05,12,0.00011268112307975066,100.0,1.0,1.0411076900547976e-05,0.0,0.0
milo_LW_eps_0.05,13,0.00010860870643197259,100.0,1.0,1.0264225695195738e-05,0.0,0.0
milo_LW_eps_0.05,14,0.0001057243336887748,100.0,1.0,9.812745276266347e-06,0.0,0.0
milo_LW_eps_0.05,15,0.00010361358063349448,100.0,1.0,9.550330023130394e-06,0.0,0.0
