duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
31.6,2025-09-22 00:49:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.27,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:49:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.01,0.0,1.38,0.0,0.37,MILO,0,10,LOGISTIC Experiment ,1266.46
32.07,2025-09-22 00:50:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:50:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO,1,10,LOGISTIC Experiment ,1266.46
32.28,2025-09-22 00:50:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.97,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:50:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO,2,10,LOGISTIC Experiment ,1266.46
32.33,2025-09-22 00:51:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.91,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:51:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO,3,10,LOGISTIC Experiment ,1266.46
32.25,2025-09-22 00:51:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.89,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:51:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO,4,10,LOGISTIC Experiment ,1266.46
33.07,2025-09-22 00:52:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.8,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:52:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO_LW,0,10,LOGISTIC Experiment ,1266.46
31.9,2025-09-22 00:53:00,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.27,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:53:00,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.38,0.0,0.0,MILO_LW,1,10,LOGISTIC Experiment ,1266.46
31.5,2025-09-22 00:53:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.26,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:53:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.38,0.0,1.39,0.0,0.01,MILO_LW,2,10,LOGISTIC Experiment ,1266.46
31.84,2025-09-22 00:54:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.24,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:54:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,MILO_LW,3,10,LOGISTIC Experiment ,1266.46
31.88,2025-09-22 00:54:36,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.17,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:54:36,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,MILO_LW,4,10,LOGISTIC Experiment ,1266.46
27.95,2025-09-22 00:55:08,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.18,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:55:08,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,SGD,0,10,LOGISTIC Experiment ,1266.46
28.22,2025-09-22 00:55:35,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:55:35,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,SGD,1,10,LOGISTIC Experiment ,1266.46
28.04,2025-09-22 00:56:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:56:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,SGD,2,10,LOGISTIC Experiment ,1266.46
31.6,2025-09-22 00:56:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.02,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:56:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,SGD,3,10,LOGISTIC Experiment ,1266.46
32.1,2025-09-22 00:57:03,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.7,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:57:03,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,SGD,4,10,LOGISTIC Experiment ,1266.46
29.41,2025-09-22 00:57:35,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.69,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:57:35,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.46,0.0,0.07,ADAMW,0,10,LOGISTIC Experiment ,1266.46
28.82,2025-09-22 00:58:05,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.62,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:58:05,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,ADAMW,1,10,LOGISTIC Experiment ,1266.46
28.83,2025-09-22 00:58:34,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.6,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:58:34,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,ADAMW,2,10,LOGISTIC Experiment ,1266.46
28.66,2025-09-22 00:59:02,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.64,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:59:02,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,ADAMW,3,10,LOGISTIC Experiment ,1266.46
28.61,2025-09-22 00:59:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 00:59:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,ADAMW,4,10,LOGISTIC Experiment ,1266.46
