duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
29.91,2025-09-23 01:22:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.98,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:22:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.01,0.0,1.31,0.0,0.3,MILO,0,10,LOGISTIC Experiment ,1420.13
33.02,2025-09-23 01:23:22,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:23:22,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO,1,10,LOGISTIC Experiment ,1420.13
35.03,2025-09-23 01:23:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.46,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:23:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO,2,10,LOGISTIC Experiment ,1420.13
35.07,2025-09-23 01:24:30,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.64,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:24:30,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO,3,10,LOGISTIC Experiment ,1420.13
35.15,2025-09-23 01:25:05,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.75,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:25:05,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO,4,10,LOGISTIC Experiment ,1420.13
35.16,2025-09-23 01:25:40,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:25:40,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO_LW,0,10,LOGISTIC Experiment ,1420.13
35.01,2025-09-23 01:26:15,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:26:15,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO_LW,1,10,LOGISTIC Experiment ,1420.13
38.29,2025-09-23 01:26:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.79,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:26:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO_LW,2,10,LOGISTIC Experiment ,1420.13
35.97,2025-09-23 01:27:28,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:27:28,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO_LW,3,10,LOGISTIC Experiment ,1420.13
34.32,2025-09-23 01:28:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.53,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:28:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,MILO_LW,4,10,LOGISTIC Experiment ,1420.13
32.68,2025-09-23 01:28:39,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:28:39,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,SGD,0,10,LOGISTIC Experiment ,1420.13
32.91,2025-09-23 01:29:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.56,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:29:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.31,0.0,0.0,SGD,1,10,LOGISTIC Experiment ,1420.13
32.63,2025-09-23 01:29:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:29:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.31,0.0,1.32,0.0,0.01,SGD,2,10,LOGISTIC Experiment ,1420.13
33.01,2025-09-23 01:30:17,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:30:17,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.32,0.0,1.32,0.0,0.0,SGD,3,10,LOGISTIC Experiment ,1420.13
32.92,2025-09-23 01:30:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:30:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.32,0.0,1.32,0.0,0.0,SGD,4,10,LOGISTIC Experiment ,1420.13
33.53,2025-09-23 01:31:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.55,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:31:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.32,0.0,1.39,0.0,0.07,ADAMW,0,10,LOGISTIC Experiment ,1420.13
35.33,2025-09-23 01:31:56,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.44,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:31:56,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,ADAMW,1,10,LOGISTIC Experiment ,1420.13
35.15,2025-09-23 01:32:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:32:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,ADAMW,2,10,LOGISTIC Experiment ,1420.13
35.4,2025-09-23 01:33:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.56,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:33:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,ADAMW,3,10,LOGISTIC Experiment ,1420.13
35.42,2025-09-23 01:33:42,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.55,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:33:42,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,ADAMW,4,10,LOGISTIC Experiment ,1420.13
37.68,2025-09-23 01:34:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.56,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:34:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.48,0.0,0.09,ADAM_MINI,0,10,LOGISTIC Experiment ,1420.13
36.24,2025-09-23 01:34:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.5,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:34:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.48,0.0,1.48,0.0,0.0,ADAM_MINI,1,10,LOGISTIC Experiment ,1420.13
36.43,2025-09-23 01:35:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.48,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:35:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.48,0.0,1.48,0.0,0.0,ADAM_MINI,2,10,LOGISTIC Experiment ,1420.13
36.1,2025-09-23 01:36:08,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.47,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:36:08,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.48,0.0,1.49,0.0,0.01,ADAM_MINI,3,10,LOGISTIC Experiment ,1420.13
36.21,2025-09-23 01:36:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.43,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:36:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,ADAM_MINI,4,10,LOGISTIC Experiment ,1420.13
37.11,2025-09-23 01:37:20,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.38,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:37:20,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,NOVOGRAD,0,10,LOGISTIC Experiment ,1420.13
37.08,2025-09-23 01:37:57,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.4,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:37:57,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,NOVOGRAD,1,10,LOGISTIC Experiment ,1420.13
37.31,2025-09-23 01:38:35,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.41,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:38:35,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,NOVOGRAD,2,10,LOGISTIC Experiment ,1420.13
37.66,2025-09-23 01:39:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.43,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:39:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,NOVOGRAD,3,10,LOGISTIC Experiment ,1420.13
37.26,2025-09-23 01:39:49,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.41,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:39:49,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,NOVOGRAD,4,10,LOGISTIC Experiment ,1420.13
35.14,2025-09-23 01:40:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.41,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:40:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,ADAGRAD,0,10,LOGISTIC Experiment ,1420.13
35.32,2025-09-23 01:41:02,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.4,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 01:41:02,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.49,0.0,1.49,0.0,0.0,ADAGRAD,1,10,LOGISTIC Experiment ,1420.13
