duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
32.79,2025-05-13 23:03:49,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.2,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:03:49,1,NVIDIA GeForce RTX 5070 Ti,15.92,0.97,0.0,1.28,0.0,0.31,MILO,0,10,LOGISTIC Experiment ,939.8
32.68,2025-05-13 23:04:22,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.89,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:04:22,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.28,0.0,1.28,0.0,0.0,MILO,1,10,LOGISTIC Experiment ,939.8
32.62,2025-05-13 23:04:54,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.69,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:04:54,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.28,0.0,1.28,0.0,0.0,MILO,2,10,LOGISTIC Experiment ,939.8
32.19,2025-05-13 23:05:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:05:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.28,0.0,1.28,0.0,0.0,MILO,3,10,LOGISTIC Experiment ,939.8
32.25,2025-05-13 23:05:59,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.96,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:05:59,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.28,0.0,1.28,0.0,0.0,MILO,4,10,LOGISTIC Experiment ,939.8
33.02,2025-05-13 23:06:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:06:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.28,0.0,1.29,0.0,0.01,MILO_LW,0,10,LOGISTIC Experiment ,939.8
32.79,2025-05-13 23:07:05,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.9,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:07:05,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,MILO_LW,1,10,LOGISTIC Experiment ,939.8
32.64,2025-05-13 23:07:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.66,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:07:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,MILO_LW,2,10,LOGISTIC Experiment ,939.8
32.38,2025-05-13 23:08:10,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.05,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:08:10,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,MILO_LW,3,10,LOGISTIC Experiment ,939.8
32.47,2025-05-13 23:08:42,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.89,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:08:42,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,MILO_LW,4,10,LOGISTIC Experiment ,939.8
29.65,2025-05-13 23:09:15,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.7,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:09:15,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,SGD,0,10,LOGISTIC Experiment ,939.8
29.84,2025-05-13 23:09:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.06,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:09:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,SGD,1,10,LOGISTIC Experiment ,939.8
29.55,2025-05-13 23:10:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:10:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,SGD,2,10,LOGISTIC Experiment ,939.8
29.89,2025-05-13 23:10:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.99,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:10:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,SGD,3,10,LOGISTIC Experiment ,939.8
29.61,2025-05-13 23:11:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.84,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:11:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.29,0.0,0.0,SGD,4,10,LOGISTIC Experiment ,939.8
30.31,2025-05-13 23:11:43,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.69,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:11:43,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.29,0.0,1.37,0.0,0.08,ADAMW,0,10,LOGISTIC Experiment ,939.8
30.08,2025-05-13 23:12:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.99,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:12:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAMW,1,10,LOGISTIC Experiment ,939.8
30.03,2025-05-13 23:12:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:12:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAMW,2,10,LOGISTIC Experiment ,939.8
30.19,2025-05-13 23:13:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.99,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:13:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAMW,3,10,LOGISTIC Experiment ,939.8
29.56,2025-05-13 23:13:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.8,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:13:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAMW,4,10,LOGISTIC Experiment ,939.8
29.79,2025-05-13 23:14:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.67,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:14:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAGRAD,0,10,LOGISTIC Experiment ,939.8
30.02,2025-05-13 23:14:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.48,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:14:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAGRAD,1,10,LOGISTIC Experiment ,939.8
29.72,2025-05-13 23:15:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.93,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:15:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAGRAD,2,10,LOGISTIC Experiment ,939.8
29.8,2025-05-13 23:15:43,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.73,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:15:43,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAGRAD,3,10,LOGISTIC Experiment ,939.8
29.46,2025-05-13 23:16:13,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.97,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:16:13,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.37,0.0,0.0,ADAGRAD,4,10,LOGISTIC Experiment ,939.8
32.09,2025-05-13 23:16:43,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.75,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:16:43,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.37,0.0,1.39,0.0,0.02,NOVOGRAD,0,10,LOGISTIC Experiment ,939.8
31.9,2025-05-13 23:17:15,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.57,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:17:15,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,NOVOGRAD,1,10,LOGISTIC Experiment ,939.8
32.06,2025-05-13 23:17:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.01,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:17:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,NOVOGRAD,2,10,LOGISTIC Experiment ,939.8
32.3,2025-05-13 23:18:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:18:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,NOVOGRAD,3,10,LOGISTIC Experiment ,939.8
32.45,2025-05-13 23:18:51,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.68,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 23:18:51,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.39,0.0,1.39,0.0,0.0,NOVOGRAD,4,10,LOGISTIC Experiment ,939.8
