duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
40.64,2026-06-07 12:23:59,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.2,16.0,ng31302,True,GPU,2026-06-07 12:23:59,2,NVIDIA A100-SXM4-40GB,39.49,1.04,0.0,1.28,0.0,0.24,MILO,0,5,LOGISTIC Experiment ,1421.66
40.75,2026-06-07 12:24:39,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.02,16.0,ng31302,True,GPU,2026-06-07 12:24:39,2,NVIDIA A100-SXM4-40GB,39.49,1.28,0.0,1.28,0.0,0.0,MILO,1,5,LOGISTIC Experiment ,1421.66
40.63,2026-06-07 12:25:20,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.03,16.0,ng31302,True,GPU,2026-06-07 12:25:20,2,NVIDIA A100-SXM4-40GB,39.49,1.28,0.0,1.28,0.0,0.0,MILO,2,5,LOGISTIC Experiment ,1421.66
40.26,2026-06-07 12:26:01,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.01,16.0,ng31302,True,GPU,2026-06-07 12:26:01,2,NVIDIA A100-SXM4-40GB,39.49,1.28,0.0,1.29,0.0,0.01,MILO,3,5,LOGISTIC Experiment ,1421.66
40.54,2026-06-07 12:26:41,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.03,16.0,ng31302,True,GPU,2026-06-07 12:26:41,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,MILO,4,5,LOGISTIC Experiment ,1421.66
40.56,2026-06-07 12:27:21,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.03,16.0,ng31302,True,GPU,2026-06-07 12:27:21,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.28,0.0,-0.01,MILO_LW,0,5,LOGISTIC Experiment ,1421.66
40.47,2026-06-07 12:28:02,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.98,16.0,ng31302,True,GPU,2026-06-07 12:28:02,2,NVIDIA A100-SXM4-40GB,39.49,1.28,0.0,1.28,0.0,0.0,MILO_LW,1,5,LOGISTIC Experiment ,1421.66
40.53,2026-06-07 12:28:42,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.97,16.0,ng31302,True,GPU,2026-06-07 12:28:42,2,NVIDIA A100-SXM4-40GB,39.49,1.28,0.0,1.29,0.0,0.01,MILO_LW,2,5,LOGISTIC Experiment ,1421.66
40.49,2026-06-07 12:29:23,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.98,16.0,ng31302,True,GPU,2026-06-07 12:29:23,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,MILO_LW,3,5,LOGISTIC Experiment ,1421.66
40.39,2026-06-07 12:30:03,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.0,16.0,ng31302,True,GPU,2026-06-07 12:30:03,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,MILO_LW,4,5,LOGISTIC Experiment ,1421.66
40.21,2026-06-07 12:30:44,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.99,16.0,ng31302,True,GPU,2026-06-07 12:30:44,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,SGD,0,5,LOGISTIC Experiment ,1421.66
40.24,2026-06-07 12:31:24,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.98,16.0,ng31302,True,GPU,2026-06-07 12:31:24,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,SGD,1,5,LOGISTIC Experiment ,1421.66
40.27,2026-06-07 12:32:04,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,942.0,16.0,ng31302,True,GPU,2026-06-07 12:32:04,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,SGD,2,5,LOGISTIC Experiment ,1421.66
40.18,2026-06-07 12:32:45,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,941.99,16.0,ng31302,True,GPU,2026-06-07 12:32:45,2,NVIDIA A100-SXM4-40GB,39.49,1.29,0.0,1.29,0.0,0.0,SGD,3,5,LOGISTIC Experiment ,1421.66
