duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
40.26,2025-09-22 01:10:56,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:10:56,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.73,0.0,1.74,0.0,0.01,MILO,0,10,MULTILAYER Experiment ,1441.8
40.09,2025-09-22 01:11:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:11:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO,1,10,MULTILAYER Experiment ,1441.8
40.02,2025-09-22 01:12:17,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.5,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:12:17,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO,2,10,MULTILAYER Experiment ,1441.8
39.76,2025-09-22 01:12:57,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.45,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:12:57,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO,3,10,MULTILAYER Experiment ,1441.8
39.68,2025-09-22 01:13:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.45,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:13:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO,4,10,MULTILAYER Experiment ,1441.8
38.47,2025-09-22 01:14:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.44,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:14:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO_LW,0,10,MULTILAYER Experiment ,1441.8
39.28,2025-09-22 01:14:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.44,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:14:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO_LW,1,10,MULTILAYER Experiment ,1441.8
36.52,2025-09-22 01:15:34,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.23,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:15:34,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO_LW,2,10,MULTILAYER Experiment ,1441.8
36.63,2025-09-22 01:16:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.23,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:16:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO_LW,3,10,MULTILAYER Experiment ,1441.8
36.32,2025-09-22 01:16:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.21,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:16:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,MILO_LW,4,10,MULTILAYER Experiment ,1441.8
30.57,2025-09-22 01:17:24,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.19,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:17:24,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,SGD,0,10,MULTILAYER Experiment ,1441.8
30.64,2025-09-22 01:17:54,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.18,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:17:54,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,SGD,1,10,MULTILAYER Experiment ,1441.8
30.99,2025-09-22 01:18:25,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.15,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:18:25,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,SGD,2,10,MULTILAYER Experiment ,1441.8
30.66,2025-09-22 01:18:56,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.09,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:18:56,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,SGD,3,10,MULTILAYER Experiment ,1441.8
32.45,2025-09-22 01:19:26,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.09,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:19:26,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,SGD,4,10,MULTILAYER Experiment ,1441.8
35.41,2025-09-22 01:19:59,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:19:59,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAMW,0,10,MULTILAYER Experiment ,1441.8
32.34,2025-09-22 01:20:34,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.01,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:20:34,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAMW,1,10,MULTILAYER Experiment ,1441.8
31.08,2025-09-22 01:21:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.0,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:21:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAMW,2,10,MULTILAYER Experiment ,1441.8
31.37,2025-09-22 01:21:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.96,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:21:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAMW,3,10,MULTILAYER Experiment ,1441.8
31.72,2025-09-22 01:22:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.95,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:22:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAMW,4,10,MULTILAYER Experiment ,1441.8
32.63,2025-09-22 01:22:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.95,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:22:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAM_MINI,0,10,MULTILAYER Experiment ,1441.8
33.2,2025-09-22 01:23:13,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.93,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:23:13,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAM_MINI,1,10,MULTILAYER Experiment ,1441.8
33.33,2025-09-22 01:23:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.94,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:23:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAM_MINI,2,10,MULTILAYER Experiment ,1441.8
34.2,2025-09-22 01:24:20,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.91,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:24:20,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAM_MINI,3,10,MULTILAYER Experiment ,1441.8
37.14,2025-09-22 01:24:54,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.6,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:24:54,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAM_MINI,4,10,MULTILAYER Experiment ,1441.8
39.49,2025-09-22 01:25:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.6,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:25:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,NOVOGRAD,0,10,MULTILAYER Experiment ,1441.8
40.03,2025-09-22 01:26:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.6,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:26:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,NOVOGRAD,1,10,MULTILAYER Experiment ,1441.8
39.64,2025-09-22 01:26:51,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.58,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:26:51,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,NOVOGRAD,2,10,MULTILAYER Experiment ,1441.8
40.41,2025-09-22 01:27:30,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.55,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:27:30,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,NOVOGRAD,3,10,MULTILAYER Experiment ,1441.8
39.73,2025-09-22 01:28:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:28:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,NOVOGRAD,4,10,MULTILAYER Experiment ,1441.8
35.0,2025-09-22 01:28:51,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:28:51,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAGRAD,0,10,MULTILAYER Experiment ,1441.8
34.8,2025-09-22 01:29:26,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:29:26,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAGRAD,1,10,MULTILAYER Experiment ,1441.8
35.05,2025-09-22 01:30:00,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 01:30:00,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.74,0.0,1.74,0.0,0.0,ADAGRAD,2,10,MULTILAYER Experiment ,1441.8
