duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
30.66,2025-07-27 10:16:08,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:16:08,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.14,0.0,1.45,0.0,0.31,MILO,0,10,MULTILAYER Experiment ,1443.15
30.81,2025-07-27 10:16:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.87,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:16:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.45,0.0,1.45,0.0,0.0,MILO,1,10,MULTILAYER Experiment ,1443.15
30.51,2025-07-27 10:17:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.68,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:17:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.45,0.0,1.45,0.0,0.0,MILO,2,10,MULTILAYER Experiment ,1443.15
30.82,2025-07-27 10:17:40,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.66,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:17:40,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.45,0.0,1.45,0.0,0.0,MILO,3,10,MULTILAYER Experiment ,1443.15
30.34,2025-07-27 10:18:10,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.62,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:18:10,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.45,0.0,1.45,0.0,0.0,MILO,4,10,MULTILAYER Experiment ,1443.15
31.51,2025-07-27 10:18:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:18:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.45,0.0,1.46,0.0,0.01,MILO_LW,0,10,MULTILAYER Experiment ,1443.15
31.29,2025-07-27 10:19:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.62,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:19:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,MILO_LW,1,10,MULTILAYER Experiment ,1443.15
32.06,2025-07-27 10:19:44,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:19:44,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,MILO_LW,2,10,MULTILAYER Experiment ,1443.15
34.08,2025-07-27 10:20:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.71,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:20:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,MILO_LW,3,10,MULTILAYER Experiment ,1443.15
32.75,2025-07-27 10:20:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:20:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.46,0.0,0.0,MILO_LW,4,10,MULTILAYER Experiment ,1443.15
31.85,2025-07-27 10:21:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-07-27 10:21:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.46,0.0,1.6,0.0,0.14,MUON,0,10,MULTILAYER Experiment ,1443.15
