duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
32.36,2025-05-13 11:55:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.98,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:55:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.71,0.0,1.8,0.0,0.09,MILO,0,10,MULTILAYER Experiment ,927.51
32.4,2025-05-13 11:56:28,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.01,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:56:28,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO,1,10,MULTILAYER Experiment ,927.51
32.59,2025-05-13 11:57:00,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.98,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:57:00,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO,2,10,MULTILAYER Experiment ,927.51
32.69,2025-05-13 11:57:33,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.87,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:57:33,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO,3,10,MULTILAYER Experiment ,927.51
32.89,2025-05-13 11:58:05,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.9,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:58:05,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO,4,10,MULTILAYER Experiment ,927.51
33.51,2025-05-13 11:58:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.89,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:58:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO_LW,0,10,MULTILAYER Experiment ,927.51
33.5,2025-05-13 11:59:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:59:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO_LW,1,10,MULTILAYER Experiment ,927.51
32.56,2025-05-13 11:59:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,39.96,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 11:59:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO_LW,2,10,MULTILAYER Experiment ,927.51
32.29,2025-05-13 12:00:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.24,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:00:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO_LW,3,10,MULTILAYER Experiment ,927.51
32.77,2025-05-13 12:00:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.2,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:00:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,MILO_LW,4,10,MULTILAYER Experiment ,927.51
28.79,2025-05-13 12:01:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.22,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:01:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,SGD,0,10,MULTILAYER Experiment ,927.51
28.88,2025-05-13 12:01:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.19,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:01:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,SGD,1,10,MULTILAYER Experiment ,927.51
28.58,2025-05-13 12:02:21,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.12,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:02:21,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,SGD,2,10,MULTILAYER Experiment ,927.51
29.04,2025-05-13 12:02:49,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.09,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:02:49,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,SGD,3,10,MULTILAYER Experiment ,927.51
28.75,2025-05-13 12:03:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.17,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:03:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.8,0.0,0.0,SGD,4,10,MULTILAYER Experiment ,927.51
28.99,2025-05-13 12:03:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.1,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:03:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.8,0.0,1.81,0.0,0.01,ADAMW,0,10,MULTILAYER Experiment ,927.51
29.01,2025-05-13 12:04:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.16,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:04:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.81,0.0,1.81,0.0,0.0,ADAMW,1,10,MULTILAYER Experiment ,927.51
29.18,2025-05-13 12:04:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.17,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:04:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.81,0.0,1.81,0.0,0.0,ADAMW,2,10,MULTILAYER Experiment ,927.51
29.13,2025-05-13 12:05:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:05:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.81,0.0,1.81,0.0,0.0,ADAMW,3,10,MULTILAYER Experiment ,927.51
29.08,2025-05-13 12:05:43,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,40.19,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 12:05:43,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.81,0.0,1.81,0.0,0.0,ADAMW,4,10,MULTILAYER Experiment ,927.51
