duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
150.47,2025-05-14 10:00:51,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,45.25,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:00:51,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.35,0.0,1.63,0.0,0.28,MILO,0,10,RESNET18 Experiment ,4485.07
148.19,2025-05-14 10:03:21,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.0,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:03:21,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.63,0.0,1.64,0.0,0.01,MILO,1,10,RESNET18 Experiment ,4485.07
147.8,2025-05-14 10:05:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.38,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:05:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,2,10,RESNET18 Experiment ,4485.07
147.82,2025-05-14 10:08:17,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.47,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:08:17,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,3,10,RESNET18 Experiment ,4485.07
148.39,2025-05-14 10:10:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.51,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:10:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,4,10,RESNET18 Experiment ,4485.07
184.06,2025-05-14 10:13:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:13:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.65,0.0,0.01,MILO_LW,0,10,RESNET18 Experiment ,4485.07
184.17,2025-05-14 10:16:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:16:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.64,0.0,-0.01,MILO_LW,1,10,RESNET18 Experiment ,4485.07
183.14,2025-05-14 10:19:22,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.56,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:19:22,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.65,0.0,0.01,MILO_LW,2,10,RESNET18 Experiment ,4485.07
183.72,2025-05-14 10:22:25,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.53,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:22:25,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,3,10,RESNET18 Experiment ,4485.07
179.01,2025-05-14 10:25:29,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.52,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-14 10:25:29,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,4,10,RESNET18 Experiment ,4485.07
