duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
154.43,2025-05-13 19:57:58,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.07,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 19:57:58,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.35,0.0,1.63,0.0,0.28,MILO,0,10,RESNET18 Experiment ,4788.56
154.6,2025-05-13 20:00:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.86,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:00:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.63,0.0,1.64,0.0,0.01,MILO,1,10,RESNET18 Experiment ,4788.56
154.31,2025-05-13 20:03:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:03:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,2,10,RESNET18 Experiment ,4788.56
154.51,2025-05-13 20:05:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:05:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,3,10,RESNET18 Experiment ,4788.56
154.75,2025-05-13 20:08:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.84,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:08:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.64,0.0,0.0,MILO,4,10,RESNET18 Experiment ,4788.56
184.97,2025-05-13 20:10:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.89,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:10:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.64,0.0,1.65,0.0,0.01,MILO_LW,0,10,RESNET18 Experiment ,4788.56
190.85,2025-05-13 20:13:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:13:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,1,10,RESNET18 Experiment ,4788.56
184.42,2025-05-13 20:17:06,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.21,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:17:06,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,2,10,RESNET18 Experiment ,4788.56
189.61,2025-05-13 20:20:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.12,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:20:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,3,10,RESNET18 Experiment ,4788.56
186.38,2025-05-13 20:23:20,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.07,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:23:20,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,MILO_LW,4,10,RESNET18 Experiment ,4788.56
134.62,2025-05-13 20:26:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,37.97,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:26:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,SGD,0,10,RESNET18 Experiment ,4788.56
141.98,2025-05-13 20:28:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.09,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:28:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,SGD,1,10,RESNET18 Experiment ,4788.56
147.16,2025-05-13 20:31:03,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:31:03,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,SGD,2,10,RESNET18 Experiment ,4788.56
145.03,2025-05-13 20:33:30,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.46,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:33:30,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,SGD,3,10,RESNET18 Experiment ,4788.56
142.76,2025-05-13 20:35:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.75,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:35:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.65,0.0,0.0,SGD,4,10,RESNET18 Experiment ,4788.56
142.71,2025-05-13 20:38:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.07,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:38:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.65,0.0,1.72,0.0,0.07,ADAMW,0,10,RESNET18 Experiment ,4788.56
143.15,2025-05-13 20:40:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.49,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:40:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAMW,1,10,RESNET18 Experiment ,4788.56
142.83,2025-05-13 20:43:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.54,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:43:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAMW,2,10,RESNET18 Experiment ,4788.56
142.79,2025-05-13 20:45:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.66,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:45:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAMW,3,10,RESNET18 Experiment ,4788.56
142.57,2025-05-13 20:47:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.0,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:47:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAMW,4,10,RESNET18 Experiment ,4788.56
141.37,2025-05-13 20:50:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.36,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:50:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAGRAD,0,10,RESNET18 Experiment ,4788.56
142.46,2025-05-13 20:52:34,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,35.88,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:52:34,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAGRAD,1,10,RESNET18 Experiment ,4788.56
141.62,2025-05-13 20:54:56,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.94,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:54:56,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAGRAD,2,10,RESNET18 Experiment ,4788.56
141.42,2025-05-13 20:57:18,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.79,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:57:18,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAGRAD,3,10,RESNET18 Experiment ,4788.56
141.5,2025-05-13 20:59:39,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,36.6,931.4,DESKTOP-JA3B0L7,True,GPU,2025-05-13 20:59:39,1,NVIDIA GeForce RTX 5070 Ti,15.92,1.72,0.0,1.72,0.0,0.0,ADAGRAD,4,10,RESNET18 Experiment ,4788.56
