duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
235.7,2025-09-23 02:12:16,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,42.01,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:12:16,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.1,0.0,2.4,0.0,0.3,MILO,0,10,RESNET34_CIFAR10 Experiment ,8838.45
235.76,2025-09-23 02:16:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:16:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.4,0.0,2.4,0.0,0.0,MILO,1,10,RESNET34_CIFAR10 Experiment ,8838.45
236.16,2025-09-23 02:20:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.76,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:20:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.4,0.0,2.4,0.0,0.0,MILO,2,10,RESNET34_CIFAR10 Experiment ,8838.45
235.73,2025-09-23 02:24:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.59,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:24:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.4,0.0,2.41,0.0,0.01,MILO,3,10,RESNET34_CIFAR10 Experiment ,8838.45
235.5,2025-09-23 02:27:59,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.73,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:27:59,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.41,0.0,2.41,0.0,0.0,MILO,4,10,RESNET34_CIFAR10 Experiment ,8838.45
235.65,2025-09-23 02:31:55,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:31:55,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.41,0.0,2.44,0.0,0.03,MILO_LW,0,10,RESNET34_CIFAR10 Experiment ,8838.45
235.52,2025-09-23 02:35:51,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.48,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:35:51,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.44,0.0,2.42,0.0,-0.02,MILO_LW,1,10,RESNET34_CIFAR10 Experiment ,8838.45
235.78,2025-09-23 02:39:46,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.67,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:39:46,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,MILO_LW,2,10,RESNET34_CIFAR10 Experiment ,8838.45
234.87,2025-09-23 02:43:42,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.59,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:43:42,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,MILO_LW,3,10,RESNET34_CIFAR10 Experiment ,8838.45
234.76,2025-09-23 02:47:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.8,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:47:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,MILO_LW,4,10,RESNET34_CIFAR10 Experiment ,8838.45
200.31,2025-09-23 02:51:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.61,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:51:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,SGD,0,10,RESNET34_CIFAR10 Experiment ,8838.45
200.42,2025-09-23 02:54:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.47,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:54:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.45,0.0,0.03,SGD,1,10,RESNET34_CIFAR10 Experiment ,8838.45
199.8,2025-09-23 02:58:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.72,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 02:58:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.45,0.0,2.42,0.0,-0.03,SGD,2,10,RESNET34_CIFAR10 Experiment ,8838.45
200.3,2025-09-23 03:01:32,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.58,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:01:32,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,SGD,3,10,RESNET34_CIFAR10 Experiment ,8838.45
200.2,2025-09-23 03:04:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.46,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:04:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,SGD,4,10,RESNET34_CIFAR10 Experiment ,8838.45
202.08,2025-09-23 03:08:12,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.3,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:08:12,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,ADAMW,0,10,RESNET34_CIFAR10 Experiment ,8838.45
202.23,2025-09-23 03:11:35,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.58,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:11:35,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,ADAMW,1,10,RESNET34_CIFAR10 Experiment ,8838.45
202.18,2025-09-23 03:14:57,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.46,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:14:57,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,ADAMW,2,10,RESNET34_CIFAR10 Experiment ,8838.45
202.18,2025-09-23 03:18:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.26,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:18:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,ADAMW,3,10,RESNET34_CIFAR10 Experiment ,8838.45
202.36,2025-09-23 03:21:41,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.58,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:21:41,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.42,0.0,0.0,ADAMW,4,10,RESNET34_CIFAR10 Experiment ,8838.45
180.72,2025-09-23 03:25:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.42,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:25:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.42,0.0,2.43,0.0,0.01,ADAM_MINI,0,10,RESNET34_CIFAR10 Experiment ,8838.45
180.53,2025-09-23 03:28:04,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.26,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:28:04,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,ADAM_MINI,1,10,RESNET34_CIFAR10 Experiment ,8838.45
180.74,2025-09-23 03:31:05,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.75,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:31:05,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,ADAM_MINI,2,10,RESNET34_CIFAR10 Experiment ,8838.45
180.81,2025-09-23 03:34:06,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.41,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:34:06,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,ADAM_MINI,3,10,RESNET34_CIFAR10 Experiment ,8838.45
180.86,2025-09-23 03:37:06,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.31,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:37:06,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,ADAM_MINI,4,10,RESNET34_CIFAR10 Experiment ,8838.45
270.9,2025-09-23 03:40:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.15,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:40:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,NOVOGRAD,0,10,RESNET34_CIFAR10 Experiment ,8838.45
270.42,2025-09-23 03:44:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.49,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:44:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,NOVOGRAD,1,10,RESNET34_CIFAR10 Experiment ,8838.45
271.23,2025-09-23 03:49:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,41.2,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-23 03:49:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.43,0.0,2.43,0.0,0.0,NOVOGRAD,2,10,RESNET34_CIFAR10 Experiment ,8838.45
