epoch,layer,epoch_mean_update,epoch_std_update,optimizer,run
1,conv1,0.0045055831154526774,0.003817537510615,MILO,1
2,conv1,0.001989618507725155,0.00020148219699132492,MILO,1
3,conv1,0.0015268160933798697,9.265279369954572e-05,MILO,1
4,conv1,0.001285608253643428,5.6912067809317e-05,MILO,1
5,conv1,0.001134621304412824,3.9293032182563836e-05,MILO,1
1,bn1,0.001227678514177792,0.0010388809243434454,MILO,1
2,bn1,0.0005462595724706357,5.655393865273465e-05,MILO,1
3,bn1,0.00041942529625151547,2.6599885983142632e-05,MILO,1
4,bn1,0.0003535319050895186,1.5841433030466353e-05,MILO,1
5,bn1,0.0003112496804444444,1.146767227685414e-05,MILO,1
1,layer1,0.05120793312329214,0.043069446809753775,MILO,1
2,layer1,0.02276749186598123,0.002282037431922473,MILO,1
3,layer1,0.01747196541147168,0.0010219841008690868,MILO,1
4,layer1,0.014729629915164412,0.0006131204609102079,MILO,1
5,layer1,0.012977201764702882,0.00041870872153973394,MILO,1
1,layer2,0.1148234940119091,0.09602392132553937,MILO,1
2,layer2,0.05155519797132536,0.0051796704372726035,MILO,1
3,layer2,0.03951848752239836,0.002314857516431321,MILO,1
4,layer2,0.03327081362137812,0.0014077492213261547,MILO,1
5,layer2,0.02929589940078146,0.0009546162379333878,MILO,1
1,layer3,0.28129718963868183,0.2349153115553707,MILO,1
2,layer3,0.12926377149708151,0.012848587125213428,MILO,1
3,layer3,0.09922907001070613,0.005874899152742252,MILO,1
4,layer3,0.08370727400886477,0.003518288572995049,MILO,1
5,layer3,0.0737577562190561,0.0024185382555831493,MILO,1
1,layer4,0.3838433497226784,0.3243796416874588,MILO,1
2,layer4,0.1756552787898976,0.017305564278420393,MILO,1
3,layer4,0.13565686578363345,0.008039977654151723,MILO,1
4,layer4,0.11506193231520968,0.004784205732426887,MILO,1
5,layer4,0.10190798150698424,0.003254820685871657,MILO,1
1,linear,0.007671824863042347,0.006468027304631084,MILO,1
2,linear,0.003477002712199316,0.00035142815533755357,MILO,1
