duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
296.36,2025-09-22 04:59:56,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 04:59:56,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO,0,10,RESNET34_CIFAR100 Experiment ,9256.86
294.82,2025-09-22 05:04:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:04:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO,1,10,RESNET34_CIFAR100 Experiment ,9256.86
294.89,2025-09-22 05:09:47,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.82,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:09:47,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO,2,10,RESNET34_CIFAR100 Experiment ,9256.86
294.58,2025-09-22 05:14:42,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.8,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:14:42,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO,3,10,RESNET34_CIFAR100 Experiment ,9256.86
294.75,2025-09-22 05:19:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.79,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:19:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO,4,10,RESNET34_CIFAR100 Experiment ,9256.86
250.59,2025-09-22 05:24:31,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.81,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:24:31,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO_LW,0,10,RESNET34_CIFAR100 Experiment ,9256.86
250.29,2025-09-22 05:28:42,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.81,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:28:42,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO_LW,1,10,RESNET34_CIFAR100 Experiment ,9256.86
250.56,2025-09-22 05:32:52,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.85,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:32:52,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO_LW,2,10,RESNET34_CIFAR100 Experiment ,9256.86
250.94,2025-09-22 05:37:03,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.76,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:37:03,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO_LW,3,10,RESNET34_CIFAR100 Experiment ,9256.86
250.35,2025-09-22 05:41:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:41:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,MILO_LW,4,10,RESNET34_CIFAR100 Experiment ,9256.86
201.27,2025-09-22 05:45:24,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:45:24,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,SGD,0,10,RESNET34_CIFAR100 Experiment ,9256.86
201.01,2025-09-22 05:48:45,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.72,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:48:45,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,SGD,1,10,RESNET34_CIFAR100 Experiment ,9256.86
200.98,2025-09-22 05:52:06,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.73,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:52:06,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,SGD,2,10,RESNET34_CIFAR100 Experiment ,9256.86
201.41,2025-09-22 05:55:27,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.74,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:55:27,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,SGD,3,10,RESNET34_CIFAR100 Experiment ,9256.86
200.42,2025-09-22 05:58:49,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.72,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 05:58:49,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,SGD,4,10,RESNET34_CIFAR100 Experiment ,9256.86
203.65,2025-09-22 06:02:09,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:02:09,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.53,0.0,0.0,ADAMW,0,10,RESNET34_CIFAR100 Experiment ,9256.86
205.52,2025-09-22 06:05:33,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,43.79,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:05:33,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.53,0.0,2.24,0.0,-0.29,ADAMW,1,10,RESNET34_CIFAR100 Experiment ,9256.86
205.08,2025-09-22 06:08:58,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.08,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:08:58,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAMW,2,10,RESNET34_CIFAR100 Experiment ,9256.86
205.24,2025-09-22 06:12:24,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.12,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:12:24,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAMW,3,10,RESNET34_CIFAR100 Experiment ,9256.86
205.07,2025-09-22 06:15:49,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.11,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:15:49,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAMW,4,10,RESNET34_CIFAR100 Experiment ,9256.86
184.91,2025-09-22 06:19:14,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.07,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:19:14,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAM_MINI,0,10,RESNET34_CIFAR100 Experiment ,9256.86
184.5,2025-09-22 06:22:19,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.04,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:22:19,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAM_MINI,1,10,RESNET34_CIFAR100 Experiment ,9256.86
185.27,2025-09-22 06:25:23,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.06,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:25:23,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAM_MINI,2,10,RESNET34_CIFAR100 Experiment ,9256.86
184.36,2025-09-22 06:28:28,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.05,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:28:28,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAM_MINI,3,10,RESNET34_CIFAR100 Experiment ,9256.86
184.57,2025-09-22 06:31:33,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.07,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:31:33,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,ADAM_MINI,4,10,RESNET34_CIFAR100 Experiment ,9256.86
269.27,2025-09-22 06:34:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.03,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:34:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,NOVOGRAD,0,10,RESNET34_CIFAR100 Experiment ,9256.86
269.74,2025-09-22 06:39:07,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.09,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:39:07,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,NOVOGRAD,1,10,RESNET34_CIFAR100 Experiment ,9256.86
269.78,2025-09-22 06:43:36,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.05,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:43:36,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,NOVOGRAD,2,10,RESNET34_CIFAR100 Experiment ,9256.86
269.89,2025-09-22 06:48:06,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.04,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:48:06,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,NOVOGRAD,3,10,RESNET34_CIFAR100 Experiment ,9256.86
269.49,2025-09-22 06:52:36,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,44.01,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 06:52:36,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.24,0.0,2.24,0.0,0.0,NOVOGRAD,4,10,RESNET34_CIFAR100 Experiment ,9256.86
