optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
MILO,1,3.076037885566163,24.836601307189543,0.22878238470698903,0.9039197509990603,0.0,0.0,0.0,0.0
MILO,2,2.5792981417163525,34.8235294117647,0.33051554258734067,0.9404414738576068,0.0,0.0,0.0,0.0
MILO,3,2.1652396977493185,44.91241830065359,0.4381443308949961,0.9618431487774499,0.0,0.0,0.0,0.0
MILO,4,1.8712060351153605,51.91895424836601,0.511821662459567,0.9730626637619068,0.0,0.0,0.0,0.0
MILO,5,1.551455459644592,60.06535947712418,0.5970426766296776,0.9830700028376285,0.0,0.0,0.0,0.0
MILO_LW,1,3.2191511334437948,22.10718954248366,0.19732464550669998,0.891212741671074,0.0,0.0,0.0,0.0
MILO_LW,2,2.7383151307947498,30.980392156862745,0.29335821991086114,0.9295639782887133,0.0,0.0,0.0,0.0
MILO_LW,3,2.3825527454326356,39.27843137254902,0.37586389314412905,0.9506340988193704,0.0,0.0,0.0,0.0
MILO_LW,4,2.043098290063197,47.57385620915033,0.46395958941483756,0.9666314982683992,0.0,0.0,0.0,0.0
MILO_LW,5,1.7474356501086865,55.139869281045755,0.5442243843384145,0.9776642522829947,0.0,0.0,0.0,0.0
SGD,1,3.6670871675154744,14.635294117647058,0.11314228322934397,0.8340896366680965,0.0,0.0,0.0,0.0
SGD,2,3.2225459589864696,21.945098039215686,0.1899576235873732,0.8867001683784254,0.0,0.0,0.0,0.0
SGD,3,2.916520291920581,27.568627450980394,0.2541687036247069,0.9184400607188656,0.0,0.0,0.0,0.0
SGD,4,2.560171415578306,34.94117647058823,0.3358070898962875,0.9403572886180007,0.0,0.0,0.0,0.0
SGD,5,2.258250223720775,41.63921568627451,0.4037016525866381,0.9574296884647002,0.0,0.0,0.0,0.0
ADAMW,1,3.8130049100015677,10.977777777777778,0.07903079398950871,0.828014672594388,0.0,0.0,0.0,0.0
ADAMW,2,3.213936292112263,20.690196078431374,0.18318077177180708,0.8960255212527,0.0,0.0,0.0,0.0
ADAMW,3,2.7931532740748786,30.02875816993464,0.2855582305758543,0.9296660621457589,0.0,0.0,0.0,0.0
ADAMW,4,2.202316123301687,41.1921568627451,0.4017208846567118,0.9591818480876358,0.0,0.0,0.0,0.0
ADAMW,5,1.871400717641793,48.73202614379085,0.4818095345958114,0.9733535457324858,0.0,0.0,0.0,0.0
ADAGRAD,1,3.4445614345774933,18.870588235294118,0.1588451962291953,0.8652645204590437,0.0,0.0,0.0,0.0
ADAGRAD,2,3.362597319521935,20.45751633986928,0.17543950509362488,0.8736674752660651,0.0,0.0,0.0,0.0
ADAGRAD,3,3.3295179733824884,21.137254901960784,0.1830150372124613,0.8771274058906823,0.0,0.0,0.0,0.0
ADAGRAD,4,3.311256917866227,21.558169934640524,0.18724937543210224,0.8790632905939048,0.0,0.0,0.0,0.0
ADAGRAD,5,3.2982595294503603,21.743790849673204,0.1902469277616371,0.8802977433754006,0.0,0.0,0.0,0.0
ADEMAMIX,1,3.4710211375367406,15.443137254901961,0.12334569280826756,0.8653490232024693,0.0,0.0,0.0,0.0
ADEMAMIX,2,3.0243003703348,24.337254901960783,0.22230781508994896,0.9135238804286051,0.0,0.0,0.0,0.0
ADEMAMIX,3,2.3899671492358436,36.78431372549019,0.3473007856201219,0.9510605936153373,0.0,0.0,0.0,0.0
ADEMAMIX,4,2.0274857571421108,46.01307189542484,0.4545650130480199,0.9674903129901667,0.0,0.0,0.0,0.0
ADEMAMIX,5,1.628864557141572,54.870588235294115,0.5414844255334684,0.980373363123142,0.0,0.0,0.0,0.0
SOAP,1,2.1003571403790144,44.151633986928104,0.43084734302074273,0.9639662768836981,0.0,0.0,0.0,0.0
SOAP,2,1.1371428397932863,68.91503267973856,0.6867942349136785,0.9913587139986682,0.0,0.0,0.0,0.0
SOAP,3,0.551113055699791,84.90980392156862,0.8486228857655023,0.9983371739740399,0.0,0.0,0.0,0.0
SOAP,4,0.24484495294639488,93.30980392156863,0.933614178769387,0.999742659177691,0.0,0.0,0.0,0.0
SOAP,5,0.12469874966787357,96.6640522875817,0.9665734774166558,0.9998953225510925,0.0,0.0,0.0,0.0
