duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
118.18,2026-06-06 21:35:07,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,500.42,16.0,ng31006,True,GPU,2026-06-06 21:35:07,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO,0,5,RESNET34_CIFAR100 Experiment ,4297.6
117.82,2026-06-06 21:37:05,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,500.17,16.0,ng31006,True,GPU,2026-06-06 21:37:05,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO,1,5,RESNET34_CIFAR100 Experiment ,4297.6
118.15,2026-06-06 21:39:03,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,499.76,16.0,ng31006,True,GPU,2026-06-06 21:39:03,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO,2,5,RESNET34_CIFAR100 Experiment ,4297.6
118.24,2026-06-06 21:41:01,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,499.32,16.0,ng31006,True,GPU,2026-06-06 21:41:01,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO,3,5,RESNET34_CIFAR100 Experiment ,4297.6
118.35,2026-06-06 21:42:59,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,498.74,16.0,ng31006,True,GPU,2026-06-06 21:42:59,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO,4,5,RESNET34_CIFAR100 Experiment ,4297.6
118.23,2026-06-06 21:44:57,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,498.44,16.0,ng31006,True,GPU,2026-06-06 21:44:57,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO_LW,0,5,RESNET34_CIFAR100 Experiment ,4297.6
118.5,2026-06-06 21:46:56,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,498.73,16.0,ng31006,True,GPU,2026-06-06 21:46:56,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO_LW,1,5,RESNET34_CIFAR100 Experiment ,4297.6
117.98,2026-06-06 21:48:54,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,497.46,16.0,ng31006,True,GPU,2026-06-06 21:48:54,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO_LW,2,5,RESNET34_CIFAR100 Experiment ,4297.6
118.23,2026-06-06 21:50:52,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,497.17,16.0,ng31006,True,GPU,2026-06-06 21:50:52,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO_LW,3,5,RESNET34_CIFAR100 Experiment ,4297.6
118.07,2026-06-06 21:52:50,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,496.64,16.0,ng31006,True,GPU,2026-06-06 21:52:50,2,NVIDIA A100-SXM4-40GB,39.49,2.68,0.0,2.68,0.0,0.0,MILO_LW,4,5,RESNET34_CIFAR100 Experiment ,4297.6
