duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
72.69,2026-06-07 15:30:59,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.77,16.0,ng31302,True,GPU,2026-06-07 15:30:59,2,NVIDIA A100-SXM4-40GB,39.49,2.89,0.0,2.89,0.0,0.0,MILO,0,5,VGG11_CIFAR10 Experiment ,3400.3
73.65,2026-06-07 15:32:11,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.77,16.0,ng31302,True,GPU,2026-06-07 15:32:11,2,NVIDIA A100-SXM4-40GB,39.49,2.89,0.0,2.89,0.0,0.0,MILO,1,5,VGG11_CIFAR10 Experiment ,3400.3
73.9,2026-06-07 15:33:25,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.74,16.0,ng31302,True,GPU,2026-06-07 15:33:25,2,NVIDIA A100-SXM4-40GB,39.49,2.89,0.0,2.89,0.0,0.0,MILO,2,5,VGG11_CIFAR10 Experiment ,3400.3
73.75,2026-06-07 15:34:39,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.74,16.0,ng31302,True,GPU,2026-06-07 15:34:39,2,NVIDIA A100-SXM4-40GB,39.49,2.89,0.0,2.89,0.0,0.0,MILO,3,5,VGG11_CIFAR10 Experiment ,3400.3
73.73,2026-06-07 15:35:53,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.75,16.0,ng31302,True,GPU,2026-06-07 15:35:53,2,NVIDIA A100-SXM4-40GB,39.49,2.89,0.0,2.9,0.0,0.01,MILO,4,5,VGG11_CIFAR10 Experiment ,3400.3
73.9,2026-06-07 15:37:06,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.74,16.0,ng31302,True,GPU,2026-06-07 15:37:06,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,MILO_LW,0,5,VGG11_CIFAR10 Experiment ,3400.3
73.93,2026-06-07 15:38:20,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.73,16.0,ng31302,True,GPU,2026-06-07 15:38:20,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,MILO_LW,1,5,VGG11_CIFAR10 Experiment ,3400.3
74.03,2026-06-07 15:39:34,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.75,16.0,ng31302,True,GPU,2026-06-07 15:39:34,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,MILO_LW,2,5,VGG11_CIFAR10 Experiment ,3400.3
74.0,2026-06-07 15:40:48,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.76,16.0,ng31302,True,GPU,2026-06-07 15:40:48,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,MILO_LW,3,5,VGG11_CIFAR10 Experiment ,3400.3
74.02,2026-06-07 15:42:02,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.76,16.0,ng31302,True,GPU,2026-06-07 15:42:02,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,MILO_LW,4,5,VGG11_CIFAR10 Experiment ,3400.3
69.54,2026-06-07 15:43:16,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.79,16.0,ng31302,True,GPU,2026-06-07 15:43:16,2,NVIDIA A100-SXM4-40GB,39.49,2.9,0.0,2.9,0.0,0.0,SGD,0,5,VGG11_CIFAR10 Experiment ,3400.3
