duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
144.89,2025-09-22 15:32:01,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.42,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:32:01,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.83,0.0,2.83,0.0,0.0,MILO,0,10,VGG11_CIFAR100 Experiment ,4536.41
144.04,2025-09-22 15:34:26,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.39,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:34:26,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.83,0.0,2.84,0.0,0.01,MILO,1,10,VGG11_CIFAR100 Experiment ,4536.41
143.62,2025-09-22 15:36:50,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.29,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:36:50,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.84,0.0,2.85,0.0,0.01,MILO,2,10,VGG11_CIFAR100 Experiment ,4536.41
144.57,2025-09-22 15:39:13,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.31,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:39:13,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.84,0.0,-0.01,MILO,3,10,VGG11_CIFAR100 Experiment ,4536.41
143.96,2025-09-22 15:41:38,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.21,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:41:38,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.84,0.0,2.85,0.0,0.01,MILO,4,10,VGG11_CIFAR100 Experiment ,4536.41
137.83,2025-09-22 15:44:02,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.35,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:44:02,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.85,0.0,0.0,MILO_LW,0,10,VGG11_CIFAR100 Experiment ,4536.41
137.4,2025-09-22 15:46:20,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.35,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:46:20,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.85,0.0,0.0,MILO_LW,1,10,VGG11_CIFAR100 Experiment ,4536.41
136.12,2025-09-22 15:48:37,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.21,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:48:37,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.85,0.0,0.0,MILO_LW,2,10,VGG11_CIFAR100 Experiment ,4536.41
137.97,2025-09-22 15:50:53,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.32,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:50:53,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.85,0.0,0.0,MILO_LW,3,10,VGG11_CIFAR100 Experiment ,4536.41
138.04,2025-09-22 15:53:11,Windows-11-10.0.26100-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,38.3,931.4,DESKTOP-JA3B0L7,True,GPU,2025-09-22 15:53:11,1,NVIDIA GeForce RTX 5070 Ti,15.92,2.85,0.0,2.85,0.0,0.0,MILO_LW,4,10,VGG11_CIFAR100 Experiment ,4536.41
