duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
134.56,2026-06-07 17:26:18,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.95,16.0,ng31302,True,GPU,2026-06-07 17:26:18,2,NVIDIA A100-SXM4-40GB,39.49,3.07,0.0,3.12,0.0,0.05,MILO,0,5,VIT_TINY_CIFAR10 Experiment ,4869.91
134.88,2026-06-07 17:28:33,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.91,16.0,ng31302,True,GPU,2026-06-07 17:28:33,2,NVIDIA A100-SXM4-40GB,39.49,3.12,0.0,3.12,0.0,0.0,MILO,1,5,VIT_TINY_CIFAR10 Experiment ,4869.91
134.89,2026-06-07 17:30:48,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,939.94,16.0,ng31302,True,GPU,2026-06-07 17:30:48,2,NVIDIA A100-SXM4-40GB,39.49,3.12,0.0,3.12,0.0,0.0,MILO,2,5,VIT_TINY_CIFAR10 Experiment ,4869.91
134.49,2026-06-07 17:33:02,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.08,16.0,ng31302,True,GPU,2026-06-07 17:33:02,2,NVIDIA A100-SXM4-40GB,39.49,3.12,0.0,3.12,0.0,0.0,MILO,3,5,VIT_TINY_CIFAR10 Experiment ,4869.91
135.27,2026-06-07 17:35:17,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.16,16.0,ng31302,True,GPU,2026-06-07 17:35:17,2,NVIDIA A100-SXM4-40GB,39.49,3.12,0.0,2.97,0.0,-0.15,MILO,4,5,VIT_TINY_CIFAR10 Experiment ,4869.91
135.71,2026-06-07 17:37:32,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.32,16.0,ng31302,True,GPU,2026-06-07 17:37:32,2,NVIDIA A100-SXM4-40GB,39.49,2.97,0.0,2.97,0.0,0.0,MILO_LW,0,5,VIT_TINY_CIFAR10 Experiment ,4869.91
136.25,2026-06-07 17:39:48,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.37,16.0,ng31302,True,GPU,2026-06-07 17:39:48,2,NVIDIA A100-SXM4-40GB,39.49,2.97,0.0,2.98,0.0,0.01,MILO_LW,1,5,VIT_TINY_CIFAR10 Experiment ,4869.91
135.86,2026-06-07 17:42:04,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.38,16.0,ng31302,True,GPU,2026-06-07 17:42:04,2,NVIDIA A100-SXM4-40GB,39.49,2.98,0.0,2.98,0.0,0.0,MILO_LW,2,5,VIT_TINY_CIFAR10 Experiment ,4869.91
135.54,2026-06-07 17:44:20,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.38,16.0,ng31302,True,GPU,2026-06-07 17:44:20,2,NVIDIA A100-SXM4-40GB,39.49,2.98,0.0,2.98,0.0,0.0,MILO_LW,3,5,VIT_TINY_CIFAR10 Experiment ,4869.91
135.41,2026-06-07 17:46:36,Linux-5.14.0-611.55.1.el9_7.x86_64-x86_64-AMD_EPYC_7543_32-Core_Processor-with-glibc2.37,3.11.5,AMD EPYC 7543 32-Core Processor,64,64,1007.49,940.39,16.0,ng31302,True,GPU,2026-06-07 17:46:36,2,NVIDIA A100-SXM4-40GB,39.49,2.98,0.0,2.98,0.0,0.0,MILO_LW,4,5,VIT_TINY_CIFAR10 Experiment ,4869.91
