optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
AdamW,1,0.9940038919448853,0.04708375781774521,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,2,0.9755114912986755,0.05628170445561409,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,3,0.9611690044403076,0.06471417099237442,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,4,0.9401236176490784,0.07979702204465866,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,5,0.9115488529205322,0.10340666025876999,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,6,0.8583754897117615,0.15313571691513062,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,7,0.7836098670959473,0.22782573103904724,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,8,0.7835488319396973,0.22788935899734497,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,9,0.8676100373268127,0.14391380548477173,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,10,0.8144709467887878,0.19631148874759674,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,11,0.7701550722122192,0.2395785003900528,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,12,0.8050992488861084,0.20246386528015137,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,13,0.6935493350028992,0.312808096408844,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,14,0.6934815049171448,0.3128754496574402,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,15,0.7284935116767883,0.2756746709346771,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,16,0.5986541509628296,0.4038623571395874,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,17,0.48603883385658264,0.5156369209289551,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,18,0.49251577258110046,0.5087957382202148,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,19,0.37974876165390015,0.6209259629249573,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,20,0.3312695324420929,0.6693452596664429,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,21,0.5717335343360901,0.42859354615211487,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,22,0.4483550786972046,0.5518110990524292,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,23,0.37834620475769043,0.6217290163040161,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,24,0.41274696588516235,0.5873419642448425,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,25,0.20811253786087036,0.7919107675552368,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,26,0.5191032886505127,0.4810274839401245,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,27,0.37173351645469666,0.6283367276191711,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,28,0.44659534096717834,0.5535205602645874,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,29,0.40667420625686646,0.5934395790100098,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,30,0.3184882700443268,0.6815704107284546,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,31,0.3861187994480133,0.613977313041687,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,32,0.264596551656723,0.7354494333267212,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,33,0.42110347747802734,0.5789893269538879,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,34,0.3880898654460907,0.6120123863220215,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,35,0.2812572419643402,0.7188060283660889,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,36,0.32200679183006287,0.6780708432197571,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,37,0.2676912844181061,0.732357382774353,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,38,0.380705326795578,0.6193663477897644,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,39,0.3929961025714874,0.607081413269043,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,40,0.1817658394575119,0.8182706832885742,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,41,0.42273110151290894,0.5773482322692871,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,42,0.3704576790332794,0.6295982003211975,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,43,0.19490696489810944,0.8051174283027649,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,44,0.2728196084499359,0.7272161245346069,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,45,0.1568256914615631,0.8431928753852844,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,46,0.13030634820461273,0.869702935218811,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,47,0.13019058108329773,0.8698186874389648,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,48,0.3910786211490631,0.6089768409729004,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,49,0.3424023389816284,0.6576610803604126,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,50,0.3248112201690674,0.6752562522888184,0.0,0.0,0.0,0.0,0.0,0.0
