optimizer,epoch,val_loss,val_accuracy,val_f1_score,val_auc,val_loss_std_err,val_accuracy_std_err,val_f1_score_std_err,val_auc_std_err
AdamW,1,0.3606838559939977,0.639876052499876,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,2,0.34784872339565515,0.6526105366906657,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,3,0.3386440221244794,0.6618041038790571,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,4,0.33289554433485935,0.6674193395696078,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,5,0.338491606318084,0.6622450009427152,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,6,,,,,,,,
AdamW,7,,,,,,,,
AdamW,8,,,,,,,,
AdamW,9,,,,,,,,
AdamW,10,,,,,,,,
AdamW,11,,,,,,,,
AdamW,12,,,,,,,,
AdamW,13,,,,,,,,
AdamW,14,,,,,,,,
AdamW,15,,,,,,,,
AdamW,16,,,,,,,,
AdamW,17,,,,,,,,
AdamW,18,,,,,,,,
AdamW,19,,,,,,,,
AdamW,20,,,,,,,,
AdamW,21,,,,,,,,
AdamW,22,,,,,,,,
AdamW,23,,,,,,,,
AdamW,24,,,,,,,,
AdamW,25,,,,,,,,
AdamW,26,,,,,,,,
AdamW,27,,,,,,,,
AdamW,28,,,,,,,,
AdamW,29,,,,,,,,
AdamW,30,,,,,,,,
AdamW,31,,,,,,,,
AdamW,32,,,,,,,,
AdamW,33,,,,,,,,
AdamW,34,,,,,,,,
AdamW,35,,,,,,,,
AdamW,36,,,,,,,,
AdamW,37,,,,,,,,
AdamW,38,,,,,,,,
AdamW,39,,,,,,,,
AdamW,40,,,,,,,,
AdamW,41,,,,,,,,
AdamW,42,,,,,,,,
AdamW,43,,,,,,,,
AdamW,44,,,,,,,,
AdamW,45,,,,,,,,
AdamW,46,,,,,,,,
AdamW,47,,,,,,,,
AdamW,48,,,,,,,,
AdamW,49,,,,,,,,
AdamW,50,,,,,,,,
