optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
AdamW,1,0.7122004334031533,0.28998588891021854,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,2,0.45652323013260643,0.5439866071803269,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,3,0.4046019449235972,0.5959474120430962,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,4,0.3760132079804057,0.6245543329339278,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,5,0.3670678224395415,0.6334617085326948,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,6,0.3637982030874551,0.6366516718088636,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,7,0.36144232423878286,0.6390065067201998,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,8,0.341445583148033,0.6590503033241624,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,9,0.3382362307430925,0.6622261807004499,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,10,0.3305046378629566,0.6699790490480995,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,11,0.3290164546453494,0.6714745452112318,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,12,0.32276736886354235,0.6776839713655028,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,13,0.32095846053805177,0.6794490336531444,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,14,0.31579636233857294,0.6846557448087491,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,15,0.3134188060859314,0.6870278203429317,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,16,0.314560499724957,0.6858834442241284,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,17,0.3151617426441323,0.6852918001078829,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,18,0.3031991296876952,0.6972103168370016,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,19,0.30273266665799564,0.6977023721322062,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,20,0.3004097826518658,0.7000484163314666,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,21,0.3001459003370088,0.7002767578964741,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,22,0.317592045510387,0.6829591139354482,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,23,0.3016660119529645,0.6988107092172912,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,24,0.29477754813399565,0.7056399061448669,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,25,0.28868182185322305,0.7117037187630086,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,26,0.2898091325450351,0.7105609865266473,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,27,0.2843874230345889,0.7160064529736204,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,28,0.28372998206198097,0.7166496950905759,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,29,0.2806487780383626,0.7197240279892744,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,30,0.2767379696331706,0.7236255537381359,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,31,0.27471473348056463,0.7256203475195124,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,32,0.27603039788306555,0.7243081956905498,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,33,0.2805110961155861,0.71985442704002,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,34,0.2759005606333982,0.7244225282328118,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,35,0.2722994903247587,0.7280301835830951,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,36,0.2726263166201971,0.7276937561569157,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,37,0.2692690578786721,0.7310385292611828,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,38,0.2650011323028886,0.7353002554369245,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,39,0.26469703096765274,0.7355924603312948,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,40,0.2636643645300892,0.736646826211781,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,41,0.26228937897400467,0.7380186582866468,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,42,0.2614837791992839,0.7388280697728794,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,43,0.26064431589780085,0.7396623140142817,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,44,0.2594761015923375,0.740827119220369,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,45,0.2583945776875849,0.7419099814676023,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,46,0.2577970145177818,0.7424969293008924,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,47,0.25771363056377616,0.742578323653246,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,48,0.25675512590135435,0.7435330294011788,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,49,0.2569049713173638,0.7433876177118252,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,50,0.25662476868224704,0.7436735022839411,0.0,0.0,0.0,0.0,0.0,0.0
